locationId;Estacion_de_Medicion;Material_Particular;Valor;dateUtc;dateLocal;Unidad_Medida;latitude;longitude;Pais;city;isMobile;Entidad;sensorType
1344;Carvajal_Incolcar;pm10;43.2;2023-03-12T14:38:06+00:00;2023-03-12T09:38:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1345;Carvajal_Incolcar;pm10;43.4;2023-03-12T14:26:06+00:00;2023-03-12T09:26:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1346;Carvajal_Incolcar;pm10;43.5;2023-03-13T00:30:13+00:00;2023-03-12T19:30:13-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1347;Carvajal_Incolcar;pm10;43.6;2023-03-12T14:28:06+00:00;2023-03-12T09:28:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1348;Carvajal_Incolcar;pm10;43.7;2023-03-12T14:12:05+00:00;2023-03-12T09:12:05-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1349;Carvajal_Incolcar;pm10;44;2023-03-13T00:42:13+00:00;2023-03-12T19:42:13-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1350;Carvajal_Incolcar;pm10;44.5;2023-03-12T12:24:04+00:00;2023-03-12T07:24:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1351;Carvajal_Incolcar;pm10;44.5;2023-03-12T15:56:06+00:00;2023-03-12T10:56:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1352;Carvajal_Incolcar;pm10;44.6;2023-03-12T16:02:06+00:00;2023-03-12T11:02:06-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1353;Carvajal_Incolcar;pm10;44.8;2023-03-12T11:48:04+00:00;2023-03-12T06:48:04-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1354;Carvajal_Incolcar;pm10;44.8;2023-03-12T20:24:10+00:00;2023-03-12T15:24:10-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
1355;Carvajal_Incolcar;pm10;45.2;2023-03-12T19:04:08+00:00;2023-03-12T14:04:08-05:00;Microgramo/m³;4.592951;-74.1457;Colombia;Bogota;false;community;low-cost sensor
